order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
ITEM00000309,ORD0000103,PROD00122,3,506.96,10,1368.79
ITEM00000310,ORD0000103,PROD00008,4,333.4,0,1333.6
ITEM00000311,ORD0000103,PROD00112,1,317.53,0,317.53
ITEM00000312,ORD0000103,PROD00121,1,64.54,10,58.09
ITEM00000313,ORD0000103,PROD00056,1,429.06,10,386.15
ITEM00000314,ORD0000104,PROD00002,3,264.6,5,754.11
ITEM00000315,ORD0000105,PROD00067,2,288.21,0,576.42
ITEM00000316,ORD0000105,PROD00055,2,688.52,5,1308.19
ITEM00000317,ORD0000105,PROD00043,1,516.59,15,439.1
ITEM00000318,ORD0000105,PROD00021,4,754.33,20,2413.86
ITEM00000319,ORD0000105,PROD00027,3,491.16,0,1473.48
ITEM00000320,ORD0000106,PROD00096,2,212.37,0,424.74
ITEM00000321,ORD0000107,PROD00118,2,749.49,10,1349.08
ITEM00000322,ORD0000107,PROD00009,3,335.59,10,906.09
ITEM00000323,ORD0000108,PROD00044,4,56.72,5,215.54
ITEM00000324,ORD0000108,PROD00066,2,572.75,0,1145.5
ITEM00000325,ORD0000108,PROD00086,4,706.05,15,2400.57
ITEM00000326,ORD0000109,PROD00040,2,808.97,0,1617.94
ITEM00000327,ORD0000109,PROD00084,3,611.64,0,1834.92
ITEM00000328,ORD0000109,PROD00061,3,213.11,0,639.33
ITEM00000329,ORD0000109,PROD00067,1,288.21,0,288.21
ITEM00000330,ORD0000109,PROD00027,2,491.16,5,933.2
ITEM00000331,ORD0000110,PROD00028,3,442.91,0,1328.73
ITEM00000332,ORD0000111,PROD00057,3,673.56,5,1919.65
ITEM00000333,ORD0000111,PROD00006,2,830.78,0,1661.56
ITEM00000334,ORD0000111,PROD00104,1,176.35,15,149.9
ITEM00000335,ORD0000111,PROD00063,4,361.75,15,1229.95
ITEM00000336,ORD0000112,PROD00059,2,99.25,15,168.72
ITEM00000337,ORD0000112,PROD00032,4,444.04,5,1687.35
ITEM00000338,ORD0000112,PROD00081,3,646.71,15,1649.11
ITEM00000339,ORD0000112,PROD00026,4,72.25,0,289.0
ITEM00000340,ORD0000112,PROD00103,2,164.74,0,329.48
ITEM00000341,ORD0000113,PROD00047,3,370.66,20,889.58
ITEM00000342,ORD0000113,PROD00003,4,515.63,20,1650.02
ITEM00000343,ORD0000113,PROD00126,1,10.51,0,10.51
ITEM00000344,ORD0000113,PROD00065,2,43.7,0,87.4
ITEM00000345,ORD0000113,PROD00052,3,376.62,0,1129.86
ITEM00000346,ORD0000114,PROD00095,3,300.24,5,855.68
ITEM00000347,ORD0000115,PROD00092,1,480.65,0,480.65
ITEM00000348,ORD0000115,PROD00071,4,260.85,5,991.23
ITEM00000349,ORD0000115,PROD00016,1,385.89,0,385.89
ITEM00000350,ORD0000115,PROD00108,4,429.09,15,1458.91
ITEM00000351,ORD0000115,PROD00091,3,405.6,0,1216.8
ITEM00000352,ORD0000116,PROD00119,2,379.84,0,759.68
ITEM00000353,ORD0000116,PROD00034,1,508.64,20,406.91
ITEM00000354,ORD0000116,PROD00050,4,210.35,15,715.19
ITEM00000355,ORD0000116,PROD00058,2,566.95,0,1133.9
ITEM00000356,ORD0000117,PROD00059,3,99.25,15,253.09
ITEM00000357,ORD0000117,PROD00097,3,813.81,5,2319.36
ITEM00000358,ORD0000117,PROD00048,4,661.7,0,2646.8
ITEM00000359,ORD0000118,PROD00022,3,464.76,0,1394.28
ITEM00000360,ORD0000118,PROD00078,4,243.26,0,973.04
ITEM00000361,ORD0000118,PROD00022,3,464.76,20,1115.42
ITEM00000362,ORD0000118,PROD00036,3,247.69,15,631.61
ITEM00000363,ORD0000119,PROD00065,1,43.7,10,39.33
ITEM00000364,ORD0000119,PROD00037,2,244.79,0,489.58
ITEM00000365,ORD0000119,PROD00116,3,429.24,20,1030.18
ITEM00000366,ORD0000120,PROD00024,3,238.17,0,714.51
ITEM00000367,ORD0000120,PROD00127,2,478.61,10,861.5
ITEM00000368,ORD0000120,PROD00021,4,754.33,15,2564.72
ITEM00000369,ORD0000120,PROD00030,1,572.01,0,572.01
ITEM00000370,ORD0000120,PROD00108,2,429.09,20,686.54
ITEM00000371,ORD0000121,PROD00064,4,486.63,0,1946.52
ITEM00000372,ORD0000121,PROD00002,2,264.6,20,423.36
ITEM00000373,ORD0000121,PROD00083,4,279.13,15,949.04
ITEM00000374,ORD0000121,PROD00128,3,304.82,20,731.57
ITEM00000375,ORD0000122,PROD00047,3,370.66,15,945.18
ITEM00000376,ORD0000123,PROD00124,4,314.19,20,1005.41
ITEM00000377,ORD0000123,PROD00037,1,244.79,0,244.79
ITEM00000378,ORD0000123,PROD00107,2,698.59,0,1397.18
ITEM00000379,ORD0000123,PROD00025,3,347.65,0,1042.95
ITEM00000380,ORD0000123,PROD00122,2,506.96,0,1013.92
ITEM00000381,ORD0000124,PROD00075,3,740.14,20,1776.34
ITEM00000382,ORD0000124,PROD00127,4,478.61,0,1914.44
ITEM00000383,ORD0000124,PROD00129,3,357.17,20,857.21
ITEM00000384,ORD0000125,PROD00082,3,36.1,0,108.3
ITEM00000385,ORD0000125,PROD00023,1,419.11,5,398.15
ITEM00000386,ORD0000126,PROD00002,1,264.6,0,264.6
ITEM00000387,ORD0000127,PROD00022,2,464.76,0,929.52
ITEM00000388,ORD0000127,PROD00118,2,749.49,0,1498.98
ITEM00000389,ORD0000127,PROD00047,1,370.66,5,352.13
ITEM00000390,ORD0000127,PROD00026,1,72.25,0,72.25
ITEM00000391,ORD0000127,PROD00036,3,247.69,10,668.76
ITEM00000392,ORD0000128,PROD00014,4,92.02,10,331.27
ITEM00000393,ORD0000128,PROD00011,1,12.18,20,9.74
ITEM00000394,ORD0000128,PROD00108,4,429.09,5,1630.54
ITEM00000395,ORD0000128,PROD00018,1,204.67,15,173.97
ITEM00000396,ORD0000129,PROD00022,4,464.76,0,1859.04
ITEM00000397,ORD0000130,PROD00023,2,419.11,20,670.58
ITEM00000398,ORD0000131,PROD00116,2,429.24,0,858.48
ITEM00000399,ORD0000131,PROD00094,2,422.89,15,718.91
ITEM00000400,ORD0000132,PROD00014,1,92.02,0,92.02
ITEM00000401,ORD0000132,PROD00016,1,385.89,15,328.01
ITEM00000402,ORD0000132,PROD00021,4,754.33,0,3017.32
ITEM00000403,ORD0000133,PROD00113,4,306.91,15,1043.49
ITEM00000404,ORD0000133,PROD00043,2,516.59,20,826.54
ITEM00000405,ORD0000133,PROD00030,3,572.01,15,1458.63
ITEM00000406,ORD0000134,PROD00070,3,592.16,0,1776.48
ITEM00000407,ORD0000134,PROD00072,1,109.76,10,98.78
ITEM00000408,ORD0000134,PROD00086,1,706.05,20,564.84
ITEM00000409,ORD0000134,PROD00039,3,527.08,10,1423.12
ITEM00000410,ORD0000135,PROD00116,3,429.24,15,1094.56
ITEM00000411,ORD0000135,PROD00001,3,505.51,0,1516.53
ITEM00000412,ORD0000136,PROD00038,3,594.86,20,1427.66
ITEM00000413,ORD0000136,PROD00128,3,304.82,10,823.01
ITEM00000414,ORD0000136,PROD00022,4,464.76,20,1487.23
ITEM00000415,ORD0000136,PROD00098,2,457.99,20,732.78
ITEM00000416,ORD0000136,PROD00060,3,721.51,10,1948.08
ITEM00000417,ORD0000137,PROD00003,4,515.63,5,1959.39
ITEM00000418,ORD0000137,PROD00023,3,419.11,20,1005.86
ITEM00000419,ORD0000137,PROD00017,2,215.88,5,410.17
ITEM00000420,ORD0000137,PROD00067,3,288.21,5,821.4
ITEM00000421,ORD0000137,PROD00130,2,161.89,0,323.78
ITEM00000422,ORD0000138,PROD00092,4,480.65,20,1538.08
ITEM00000423,ORD0000138,PROD00039,2,527.08,0,1054.16
ITEM00000424,ORD0000138,PROD00127,3,478.61,20,1148.66
ITEM00000425,ORD0000139,PROD00089,3,69.69,10,188.16
ITEM00000426,ORD0000140,PROD00125,2,118.02,0,236.04
ITEM00000427,ORD0000140,PROD00072,4,109.76,0,439.04
ITEM00000428,ORD0000140,PROD00115,2,500.29,0,1000.58
ITEM00000429,ORD0000140,PROD00010,3,297.36,0,892.08
ITEM00000430,ORD0000140,PROD00047,4,370.66,0,1482.64
ITEM00000431,ORD0000141,PROD00017,4,215.88,0,863.52
ITEM00000432,ORD0000141,PROD00024,3,238.17,0,714.51
ITEM00000433,ORD0000141,PROD00060,1,721.51,15,613.28
ITEM00000434,ORD0000141,PROD00130,4,161.89,0,647.56
ITEM00000435,ORD0000142,PROD00010,3,297.36,0,892.08
ITEM00000436,ORD0000142,PROD00016,1,385.89,20,308.71
ITEM00000437,ORD0000143,PROD00015,1,41.29,0,41.29
ITEM00000438,ORD0000143,PROD00082,1,36.1,0,36.1
ITEM00000439,ORD0000143,PROD00077,4,353.19,20,1130.21
ITEM00000440,ORD0000143,PROD00027,4,491.16,0,1964.64
ITEM00000441,ORD0000144,PROD00113,2,306.91,20,491.06
ITEM00000442,ORD0000144,PROD00037,1,244.79,5,232.55
