order_id,order_date,customer_id,store_id,rep_id,order_status,payment_method,order_total,created_at
ORD0000343,2024-01-22,CUST00205,STORE011,REP0040,Pending,PayPal,4835.52,2024-01-22
ORD0000344,2024-01-22,CUST00064,STORE017,REP0022,Completed,Gift Card,2317.37,2024-01-22
ORD0000345,2024-01-22,CUST00028,STORE002,REP0008,Completed,Debit Card,4658.61,2024-01-22
ORD0000346,2024-01-22,CUST00152,STORE005,REP0007,Pending,Bank Transfer,4340.28,2024-01-22
ORD0000347,2024-01-22,CUST00246,STORE003,REP0020,Refunded,Debit Card,1380.78,2024-01-22
ORD0000348,2024-01-22,CUST00142,STORE016,REP0011,Completed,Credit Card,2994.83,2024-01-22
ORD0000349,2024-01-22,CUST00338,STORE008,REP0015,Completed,Debit Card,4683.58,2024-01-22
ORD0000350,2024-01-22,CUST00194,STORE002,REP0008,Completed,Bank Transfer,2348.06,2024-01-22
ORD0000351,2024-01-22,CUST00222,STORE009,REP0033,Completed,Bank Transfer,948.9,2024-01-22
ORD0000352,2024-01-22,CUST00090,STORE014,REP0012,Cancelled,Gift Card,1816.73,2024-01-22
ORD0000353,2024-01-22,CUST00200,STORE011,REP0040,Completed,PayPal,1989.34,2024-01-22
ORD0000354,2024-01-22,CUST00038,STORE017,REP0013,Refunded,Bank Transfer,2393.22,2024-01-22
ORD0000355,2024-01-22,CUST00073,STORE008,REP0038,Completed,Bank Transfer,1342.36,2024-01-22
ORD0000356,2024-01-22,CUST00134,STORE015,REP0014,Cancelled,Debit Card,1097.35,2024-01-22
ORD0000357,2024-01-22,CUST00048,STORE001,REP0020,Completed,Debit Card,1367.0,2024-01-22
ORD0000358,2024-01-22,CUST00005,STORE015,REP0014,Completed,Gift Card,2480.88,2024-01-22
ORD0000359,2024-01-22,CUST00035,STORE012,REP0020,Cancelled,Bank Transfer,2304.31,2024-01-22
ORD0000360,2024-01-22,CUST00325,STORE005,REP0007,Completed,PayPal,770.75,2024-01-22
ORD0000361,2024-01-22,CUST00329,STORE010,REP0010,Cancelled,Gift Card,3125.59,2024-01-22
ORD0000362,2024-01-22,CUST00189,STORE005,REP0006,Cancelled,Debit Card,549.7,2024-01-22
ORD0000363,2024-01-22,CUST00240,STORE003,REP0020,Completed,Gift Card,4706.1,2024-01-22
ORD0000364,2024-01-22,CUST00272,STORE008,REP0002,Completed,PayPal,4820.0,2024-01-22
ORD0000365,2024-01-22,CUST00393,STORE013,REP0024,Pending,Gift Card,3105.8,2024-01-22
ORD0000366,2024-01-22,CUST00175,STORE015,REP0014,Completed,Bank Transfer,5319.9,2024-01-22
ORD0000367,2024-01-22,CUST00272,STORE013,REP0037,Completed,Credit Card,2579.01,2024-01-22
ORD0000368,2024-01-22,CUST00322,STORE007,REP0008,Completed,PayPal,2878.94,2024-01-22
ORD0000369,2024-01-22,CUST00334,STORE006,REP0001,Completed,Bank Transfer,1363.14,2024-01-22
ORD0000370,2024-01-22,CUST00039,STORE004,REP0016,Completed,Bank Transfer,4872.53,2024-01-22
ORD0000371,2024-01-22,CUST00326,STORE003,REP0020,Cancelled,Credit Card,5141.76,2024-01-22
ORD0000372,2024-01-22,CUST00170,STORE018,REP0032,Pending,Gift Card,2288.04,2024-01-22
ORD0000373,2024-01-22,CUST00191,STORE014,REP0031,Completed,Bank Transfer,5631.18,2024-01-22
ORD0000374,2024-01-22,CUST00336,STORE003,REP0020,Completed,Credit Card,1606.58,2024-01-22
ORD0000375,2024-01-22,CUST00256,STORE013,REP0029,Pending,Debit Card,2427.2,2024-01-22
ORD0000376,2024-01-22,CUST00269,STORE013,REP0037,Pending,Credit Card,4166.84,2024-01-22
ORD0000377,2024-01-22,CUST00276,STORE002,REP0008,Completed,Bank Transfer,3094.28,2024-01-22
ORD0000378,2024-01-22,CUST00166,STORE009,REP0033,Completed,Debit Card,3164.9,2024-01-22
ORD0000379,2024-01-22,CUST00388,STORE006,REP0001,Completed,Gift Card,2402.69,2024-01-22
ORD0000380,2024-01-22,CUST00070,STORE001,REP0033,Completed,Debit Card,2107.68,2024-01-22
