order_id,order_date,customer_id,store_id,rep_id,order_status,payment_method,order_total,created_at
ORD0000147,01/18/2024,CUST00030,STORE007,REP0036,Completed,Credit Card,3475.37,2024-01-18
ORD0000148,01/18/2024,CUST00200,STORE010,REP0010,Completed,Credit Card,754.88,2024-01-18
ORD0000149,01/18/2024,CUST00227,STORE017,REP0017,Cancelled,Gift Card,780.82,2024-01-18
ORD0000150,01/18/2024,CUST00021,STORE014,REP0012,Completed,Debit Card,4124.15,2024-01-18
ORD0000151,01/18/2024,CUST00071,STORE007,REP0038,Completed,PayPal,826.68,2024-01-18
ORD0000152,01/18/2024,CUST00172,STORE010,REP0010,Completed,PayPal,1726.16,2024-01-18
ORD0000153,01/18/2024,CUST00128,STORE006,REP0035,Completed,PayPal,712.66,2024-01-18
ORD0000154,01/18/2024,CUST00366,STORE008,REP0026,Refunded,Credit Card,3745.22,2024-01-18
ORD0000155,01/18/2024,CUST00115,STORE006,REP0001,Completed,Debit Card,2542.78,2024-01-18
ORD0000156,01/18/2024,CUST00360,STORE015,REP0014,Completed,Credit Card,408.56,2024-01-18
ORD0000157,01/18/2024,CUST00239,STORE016,REP0011,Completed,Bank Transfer,1776.16,2024-01-18
ORD0000158,01/18/2024,CUST00304,STORE008,REP0015,Completed,PayPal,4170.21,2024-01-18
ORD0000159,01/18/2024,CUST00367,STORE014,REP0031,Refunded,Credit Card,2355.3,2024-01-18
ORD0000160,01/18/2024,CUST00272,STORE006,REP0001,Completed,Bank Transfer,1835.72,2024-01-18
ORD0000161,01/18/2024,CUST00137,STORE009,REP0036,Cancelled,Bank Transfer,216.75,2024-01-18
ORD0000162,01/18/2024,CUST00007,STORE014,REP0012,Completed,Gift Card,3352.16,2024-01-18
ORD0000163,01/18/2024,CUST00303,STORE018,REP0019,Completed,Gift Card,1475.72,2024-01-18
ORD0000164,01/18/2024,CUST00296,STORE010,REP0010,Completed,Bank Transfer,614.41,2024-01-18
ORD0000165,01/18/2024,CUST00114,STORE013,REP0024,Cancelled,PayPal,3765.32,2024-01-18
ORD0000166,01/18/2024,CUST00114,STORE007,REP0033,Cancelled,Credit Card,4029.04,2024-01-18
ORD0000167,01/18/2024,CUST00396,STORE001,REP0011,Cancelled,Credit Card,349.96,2024-01-18
ORD0000168,01/18/2024,CUST00265,STORE013,REP0029,Completed,PayPal,1077.2,2024-01-18
ORD0000169,01/18/2024,CUST00343,STORE012,REP0009,Pending,Debit Card,1438.42,2024-01-18
ORD0000170,01/18/2024,CUST00212,STORE004,REP0003,Completed,Gift Card,7615.2,2024-01-18
ORD0000171,01/18/2024,CUST00270,STORE018,REP0032,Completed,Bank Transfer,3115.72,2024-01-18
ORD0000172,01/18/2024,CUST00194,STORE008,REP0002,Refunded,Bank Transfer,2235.52,2024-01-18
ORD0000173,01/18/2024,CUST00255,STORE010,REP0010,Cancelled,Gift Card,4332.35,2024-01-18
ORD0000174,01/18/2024,CUST00333,STORE018,REP0032,Completed,Bank Transfer,2413.16,2024-01-18
ORD0000175,01/18/2024,CUST00383,STORE003,REP0020,Completed,Bank Transfer,2274.75,2024-01-18
ORD0000176,01/18/2024,CUST00216,STORE006,REP0035,Refunded,Bank Transfer,3264.73,2024-01-18
ORD0000177,01/18/2024,CUST00003,STORE010,REP0010,Refunded,Debit Card,571.38,2024-01-18
ORD0000178,01/18/2024,CUST00255,STORE018,REP0032,Completed,Bank Transfer,3165.04,2024-01-18
ORD0000179,01/18/2024,CUST00252,STORE015,REP0014,Refunded,Debit Card,1714.14,2024-01-18
ORD0000180,01/18/2024,CUST00182,STORE009,REP0027,Completed,Debit Card,1143.37,2024-01-18
ORD0000181,01/18/2024,CUST00203,STORE002,REP0008,Completed,Debit Card,5867.37,2024-01-18
ORD0000182,01/18/2024,CUST00347,STORE013,REP0037,Pending,Gift Card,4538.3,2024-01-18
ORD0000183,01/18/2024,CUST00288,STORE012,REP0008,Completed,Credit Card,4240.65,2024-01-18
ORD0000184,01/18/2024,CUST00143,STORE001,REP0022,Refunded,Debit Card,1769.26,2024-01-18
ORD0000185,01/18/2024,CUST00285,STORE015,REP0014,Refunded,Bank Transfer,2828.6,2024-01-18
ORD0000186,01/18/2024,CUST00107,STORE010,REP0010,Cancelled,Gift Card,1710.78,2024-01-18
ORD0000187,01/18/2024,CUST00301,STORE012,REP0035,Completed,Gift Card,6028.58,2024-01-18
ORD0000188,01/18/2024,CUST00364,STORE003,REP0020,Refunded,PayPal,873.14,2024-01-18
ORD0000189,01/18/2024,CUST00257,STORE010,REP0010,Completed,Gift Card,2577.7,2024-01-18
ORD0000190,01/18/2024,CUST00397,STORE005,REP0007,Completed,Credit Card,1205.24,2024-01-18
ORD0000191,01/18/2024,CUST00338,STORE015,REP0014,Refunded,Debit Card,1808.76,2024-01-18
ORD0000192,01/18/2024,CUST00388,STORE010,REP0010,Completed,Debit Card,783.65,2024-01-18
ORD0000193,01/18/2024,CUST00292,STORE016,REP0011,Completed,PayPal,1335.21,2024-01-18
ORD0000194,01/18/2024,CUST00384,STORE003,REP0020,Pending,Credit Card,5184.04,2024-01-18
ORD0000195,01/18/2024,CUST00347,STORE007,REP0028,Pending,Debit Card,1910.58,2024-01-18
ORD0000196,01/18/2024,CUST00184,STORE012,REP0027,Completed,Debit Card,1342.8,2024-01-18
ORD0000197,01/18/2024,CUST00004,STORE017,REP0028,Completed,Credit Card,798.37,2024-01-18
