order_id,order_date,customer_id,store_id,rep_id,order_status,payment_method,order_total,created_at
ORD0000302,2024-01-21,CUST00001,STORE002,REP0008,completed,Debit Card,766.31,2024-01-21
ORD0000303,2024-01-21,CUST00240,STORE001,REP0031,REFUNDED,Bank Transfer,1058.72,2024-01-21
ORD0000304,2024-01-21,CUST00084,STORE017,REP0017,  Completed  ,Credit Card,3973.84,2024-01-21
ORD0000305,2024-01-21,CUST00287,STORE007,REP0002,  Completed  ,Debit Card,2426.23,2024-01-21
ORD0000306,2024-01-21,CUST00052,STORE003,REP0020,completed,Credit Card,3010.12,2024-01-21
ORD0000307,2024-01-21,CUST00350,STORE007,REP0034,completed,PayPal,2915.8,2024-01-21
ORD0000308,2024-01-21,CUST00227,STORE009,REP0036,completed,Gift Card,1494.81,2024-01-21
ORD0000309,2024-01-21,CUST00391,STORE011,REP0040,REFUNDED,Debit Card,53.37,2024-01-21
ORD0000310,2024-01-21,CUST00279,STORE012,REP0022,COMPLETED,Bank Transfer,3577.59,2024-01-21
ORD0000311,2024-01-21,CUST00063,STORE015,REP0014,  Completed  ,Credit Card,1302.3,2024-01-21
ORD0000312,2024-01-21,CUST00332,STORE007,REP0014,COMPLETED,PayPal,3695.97,2024-01-21
ORD0000313,2024-01-21,CUST00132,STORE001,REP0006,PENDING,Credit Card,1495.83,2024-01-21
ORD0000314,2024-01-21,CUST00275,STORE001,REP0005,COMPLETED,Gift Card,3401.67,2024-01-21
ORD0000315,2024-01-21,CUST00092,STORE004,REP0018,completed,Debit Card,4112.98,2024-01-21
ORD0000316,2024-01-21,CUST00180,STORE011,REP0040,CANCELLED,Credit Card,1594.36,2024-01-21
ORD0000317,2024-01-21,CUST00074,STORE016,REP0004,REFUNDED,Bank Transfer,3052.4,2024-01-21
ORD0000318,2024-01-21,CUST00370,STORE006,REP0001,  Completed  ,Gift Card,2907.98,2024-01-21
ORD0000319,2024-01-21,CUST00392,STORE001,REP0015,PENDING,Credit Card,1096.48,2024-01-21
ORD0000320,2024-01-21,CUST00026,STORE004,REP0039,refunded,Credit Card,1863.66,2024-01-21
ORD0000321,2024-01-21,CUST00236,STORE018,REP0032,COMPLETED,PayPal,4730.61,2024-01-21
ORD0000322,2024-01-21,CUST00228,STORE016,REP0004,  Completed  ,Debit Card,547.73,2024-01-21
ORD0000323,2024-01-21,CUST00289,STORE013,REP0024,completed,Gift Card,3537.2,2024-01-21
ORD0000324,2024-01-21,CUST00324,STORE011,REP0040,completed,Bank Transfer,2516.87,2024-01-21
ORD0000325,2024-01-21,CUST00013,STORE016,REP0004,  Cancelled  ,PayPal,1321.68,2024-01-21
ORD0000326,2024-01-21,CUST00380,STORE002,REP0008,  Pending  ,Debit Card,801.35,2024-01-21
ORD0000327,2024-01-21,CUST00019,STORE010,REP0010,COMPLETED,Gift Card,1950.04,2024-01-21
ORD0000328,2024-01-21,CUST00120,STORE003,REP0020,  Completed  ,Debit Card,3676.83,2024-01-21
ORD0000329,2024-01-21,CUST00176,STORE014,REP0034,PENDING,Gift Card,3706.38,2024-01-21
ORD0000330,2024-01-21,CUST00077,STORE005,REP0006,cancelled,Debit Card,981.52,2024-01-21
ORD0000331,2024-01-21,CUST00042,STORE015,REP0014,  Completed  ,Gift Card,1775.59,2024-01-21
ORD0000332,2024-01-21,CUST00054,STORE001,REP0019,completed,Bank Transfer,2943.9,2024-01-21
ORD0000333,2024-01-21,CUST00299,STORE004,REP0039,completed,Credit Card,4920.97,2024-01-21
ORD0000334,2024-01-21,CUST00359,STORE002,REP0008,  Completed  ,Credit Card,3394.6,2024-01-21
ORD0000335,2024-01-21,CUST00107,STORE018,REP0021,COMPLETED,Debit Card,2291.51,2024-01-21
ORD0000336,2024-01-21,CUST00328,STORE007,REP0018,COMPLETED,Gift Card,6882.19,2024-01-21
ORD0000337,2024-01-21,CUST00355,STORE001,REP0011,completed,Debit Card,1258.24,2024-01-21
ORD0000338,2024-01-21,CUST00361,STORE007,REP0024,refunded,Bank Transfer,2606.11,2024-01-21
ORD0000339,2024-01-21,CUST00140,STORE001,REP0005,REFUNDED,PayPal,1803.12,2024-01-21
ORD0000340,2024-01-21,CUST00365,STORE008,REP0002,COMPLETED,Gift Card,838.22,2024-01-21
ORD0000341,2024-01-21,CUST00172,STORE003,REP0020,completed,PayPal,1543.62,2024-01-21
ORD0000342,2024-01-21,CUST00068,STORE011,REP0040,cancelled,PayPal,3636.71,2024-01-21
