order_id,order_date,customer_id,store_id,rep_id,order_status,payment_method,order_total,created_at
ORD0000255,2024-01-20,CUST00278,STORE002,REP0008,Cancelled,Debit Card,3354.26,2024-01-20
ORD0000256,2024-01-20,CUST00365,STORE011,REP0040,Refunded,Credit Card,1117.74,2024-01-20
ORD0000257,2024-01-20,CUST00321,STORE005,REP0007,Completed,PayPal,1270.56,2024-01-20
ORD0000258,2024-01-20,CUST00285,STORE013,REP0037,Completed,Gift Card,597.07,2024-01-20
ORD0000259,2024-01-20,CUST00277,STORE009,REP0033,Completed,PayPal,1703.4,2024-01-20
ORD0000260,2024-01-20,CUST00175,STORE007,REP0030,Pending,Credit Card,3847.7,2024-01-20
ORD0000261,2024-01-20,CUST00026,STORE005,REP0006,Refunded,Gift Card,4470.04,2024-01-20
ORD0000262,2024-01-20,CUST00115,STORE009,REP0036,Completed,Bank Transfer,5100.09,2024-01-20
ORD0000263,2024-01-20,CUST00110,STORE005,REP0006,Completed,Debit Card,2446.56,2024-01-20
ORD0000264,2024-01-20,CUST00336,STORE018,REP0032,Completed,PayPal,2981.06,2024-01-20
ORD0000265,2024-01-20,CUST00063,STORE007,REP0034,Cancelled,Gift Card,2368.45,2024-01-20
ORD0000266,2024-01-20,CUST00048,STORE007,REP0032,Completed,PayPal,956.69,2024-01-20
ORD0000267,2024-01-20,CUST00026,STORE006,REP0035,Completed,Credit Card,2685.08,2024-01-20
ORD0000268,2024-01-20,CUST00018,STORE002,REP0008,Completed,PayPal,1875.54,2024-01-20
ORD0000269,2024-01-20,CUST00003,STORE016,REP0011,Completed,Bank Transfer,5541.92,2024-01-20
ORD0000270,2024-01-20,CUST00275,STORE002,REP0008,Completed,Credit Card,3975.6,2024-01-20
ORD0000271,2024-01-20,CUST00028,STORE016,REP0004,Pending,Credit Card,2038.46,2024-01-20
ORD0000272,2024-01-20,CUST00150,STORE004,REP0003,Pending,Gift Card,2200.36,2024-01-20
ORD0000273,2024-01-20,CUST00017,STORE003,REP0020,Completed,Credit Card,1733.79,2024-01-20
ORD0000274,2024-01-20,CUST00102,STORE002,REP0008,Refunded,Bank Transfer,4054.18,2024-01-20
ORD0000275,2024-01-20,CUST00154,STORE018,REP0032,Pending,Debit Card,491.21,2024-01-20
ORD0000276,2024-01-20,CUST00123,STORE007,REP0038,Completed,Credit Card,2857.9,2024-01-20
ORD0000277,2024-01-20,CUST00244,STORE014,REP0030,Cancelled,Debit Card,3830.32,2024-01-20
ORD0000278,2024-01-20,CUST00360,STORE015,REP0014,Pending,Bank Transfer,4008.59,2024-01-20
ORD0000279,2024-01-20,CUST00097,STORE006,REP0035,Cancelled,Gift Card,1011.02,2024-01-20
ORD0000280,2024-01-20,CUST00290,STORE009,REP0036,Completed,PayPal,1489.73,2024-01-20
ORD0000281,2024-01-20,CUST00342,STORE014,REP0005,Cancelled,PayPal,3906.09,2024-01-20
ORD0000282,2024-01-20,CUST00385,STORE017,REP0013,Pending,Credit Card,2335.76,2024-01-20
ORD0000283,2024-01-20,CUST00216,STORE018,REP0021,Pending,PayPal,1557.17,2024-01-20
ORD0000284,2024-01-20,CUST00354,STORE009,REP0033,Completed,Debit Card,2562.97,2024-01-20
ORD0000285,2024-01-20,CUST00318,STORE011,REP0040,Completed,Gift Card,821.4,2024-01-20
ORD0000286,2024-01-20,CUST00137,STORE004,REP0016,Cancelled,Bank Transfer,3480.01,2024-01-20
ORD0000287,2024-01-20,CUST00148,STORE004,REP0018,Completed,PayPal,36.54,2024-01-20
ORD0000288,2024-01-20,CUST00125,STORE003,REP0020,Refunded,Debit Card,2918.83,2024-01-20
ORD0000289,2024-01-20,CUST00110,STORE011,REP0040,Completed,Debit Card,303.59,2024-01-20
ORD0000290,2024-01-20,CUST00296,STORE014,REP0030,Completed,PayPal,5226.96,2024-01-20
ORD0000291,2024-01-20,CUST00049,STORE012,REP0037,Refunded,Credit Card,569.08,2024-01-20
ORD0000292,2024-01-20,CUST00167,STORE007,REP0001,Completed,Credit Card,1744.64,2024-01-20
ORD0000293,2024-01-20,CUST00248,STORE008,REP0026,Pending,Bank Transfer,1275.03,2024-01-20
ORD0000294,2024-01-20,CUST00138,STORE014,REP0025,Completed,Credit Card,1877.39,2024-01-20
ORD0000295,2024-01-20,CUST00329,STORE016,REP0004,Completed,Debit Card,4597.91,2024-01-20
ORD0000296,2024-01-20,CUST00396,STORE009,REP0027,Cancelled,PayPal,3426.25,2024-01-20
ORD0000297,2024-01-20,CUST00182,STORE010,REP0010,Completed,Debit Card,1806.06,2024-01-20
ORD0000298,2024-01-20,CUST00187,STORE016,REP0011,Completed,PayPal,2689.93,2024-01-20
ORD0000299,2024-01-20,CUST00266,STORE014,REP0034,Pending,Bank Transfer,2665.33,2024-01-20
ORD0000300,2024-01-20,CUST00274,STORE003,REP0020,Completed,Credit Card,4123.25,2024-01-20
ORD0000301,2024-01-20,CUST00241,STORE006,REP0035,Pending,Debit Card,1477.44,2024-01-20
