order_id,order_date,customer_id,store_id,rep_id,order_status,payment_method,order_total,created_at
ORD0000103,2024-01-17,CUST00025,STORE012,REP0021,Cancelled,PayPal,3464.16,2024-01-17
ORD0000104,2024-01-17,CUST00088,STORE014,REP0005,Completed,Credit Card,754.11,2024-01-17
ORD0000105,2024-01-17,CUST00252,STORE006,REP0035,Refunded,Credit Card,6211.05,2024-01-17
ORD0000106,2024-01-17,CUST00206,STORE013,REP0037,Pending,PayPal,424.74,2024-01-17
ORD0000107,2024-01-17,CUST00220,STORE018,REP0032,Pending,PayPal,2255.17,2024-01-17
ORD0000108,2024-01-17,CUST00268,STORE005,REP0007,Pending,Debit Card,3761.61,2024-01-17
ORD0000109,2024-01-17,CUST00260,STORE007,REP0018,Pending,Debit Card,5313.6,2024-01-17
ORD0000110,2024-01-17,CUST00076,STORE010,REP0010,Completed,Gift Card,1328.73,2024-01-17
ORD0000111,2024-01-17,CUST00238,STORE002,REP0008,Refunded,Bank Transfer,4961.06,2024-01-17
ORD0000112,2024-01-17,CUST00301,STORE014,REP0012,Pending,Gift Card,4123.66,2024-01-17
ORD0000113,2024-01-17,CUST00248,STORE015,REP0014,Completed,Bank Transfer,3767.37,2024-01-17
ORD0000114,2024-01-17,CUST00234,STORE018,REP0019,Cancelled,Gift Card,855.68,2024-01-17
ORD0000115,2024-01-17,CUST00108,STORE006,REP0035,Completed,Debit Card,4533.48,2024-01-17
ORD0000116,2024-01-17,CUST00156,STORE013,REP0037,Refunded,Gift Card,3015.68,2024-01-17
ORD0000117,2024-01-17,CUST00240,STORE010,REP0010,Completed,PayPal,5219.25,2024-01-17
ORD0000118,2024-01-17,CUST00184,STORE008,REP0026,Completed,Bank Transfer,4114.35,2024-01-17
ORD0000119,2024-01-17,CUST00008,STORE001,REP0014,Pending,Debit Card,1559.09,2024-01-17
ORD0000120,2024-01-17,CUST00107,STORE013,REP0037,Pending,Debit Card,5399.28,2024-01-17
ORD0000121,2024-01-17,CUST00243,STORE016,REP0004,Completed,Gift Card,4050.49,2024-01-17
ORD0000122,2024-01-17,CUST00192,STORE014,REP0030,Pending,Credit Card,945.18,2024-01-17
ORD0000123,2024-01-17,CUST00011,STORE002,REP0008,Completed,Gift Card,4704.25,2024-01-17
ORD0000124,2024-01-17,CUST00176,STORE014,REP0025,Refunded,Bank Transfer,4547.99,2024-01-17
ORD0000125,2024-01-17,CUST00177,STORE007,REP0032,Completed,Bank Transfer,506.45,2024-01-17
ORD0000126,2024-01-17,,STORE018,REP0032,Completed,Gift Card,264.6,2024-01-17
ORD0000127,2024-01-17,CUST00312,STORE002,REP0008,Pending,PayPal,3521.64,2024-01-17
ORD0000128,2024-01-17,,STORE006,REP0035,Completed,Gift Card,2145.52,2024-01-17
ORD0000129,2024-01-17,CUST00305,STORE005,REP0007,Cancelled,Debit Card,1859.04,2024-01-17
ORD0000130,2024-01-17,,STORE001,REP0028,Pending,Credit Card,670.58,2024-01-17
ORD0000131,2024-01-17,CUST00067,STORE016,REP0004,Cancelled,Credit Card,1577.39,2024-01-17
ORD0000132,2024-01-17,CUST00151,STORE018,REP0032,Pending,PayPal,3437.35,2024-01-17
ORD0000133,2024-01-17,CUST00374,STORE006,REP0035,Completed,Debit Card,3328.66,2024-01-17
ORD0000134,2024-01-17,CUST00323,STORE014,REP0030,Refunded,Gift Card,3863.22,2024-01-17
ORD0000135,2024-01-17,CUST00127,STORE013,REP0029,Cancelled,PayPal,2611.09,2024-01-17
ORD0000136,2024-01-17,CUST00217,STORE006,REP0001,Completed,Credit Card,6418.76,2024-01-17
ORD0000137,2024-01-17,CUST00347,STORE013,REP0029,Completed,Debit Card,4520.6,2024-01-17
ORD0000138,2024-01-17,CUST00099,STORE003,REP0020,Completed,Credit Card,3740.9,2024-01-17
ORD0000139,2024-01-17,CUST00191,STORE015,REP0014,Cancelled,Bank Transfer,188.16,2024-01-17
ORD0000140,2024-01-17,CUST00011,STORE004,REP0003,Refunded,Credit Card,4050.38,2024-01-17
ORD0000141,2024-01-17,CUST00027,STORE002,REP0008,Completed,Gift Card,2838.87,2024-01-17
ORD0000142,2024-01-17,CUST00082,STORE012,REP0016,Completed,Credit Card,1200.79,2024-01-17
ORD0000143,2024-01-17,CUST00133,STORE017,REP0028,Refunded,PayPal,3172.24,2024-01-17
ORD0000144,2024-01-17,CUST00132,STORE013,REP0024,Completed,Debit Card,723.61,2024-01-17
ORD0000145,2024-01-17,CUST00019,STORE006,REP0001,Cancelled,PayPal,3407.38,2024-01-17
ORD0000146,2024-01-17,CUST00120,STORE016,REP0004,Completed,Gift Card,2991.3,2024-01-17
